Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,99.67894956569599
FDW14,OUT017,96.66045737559084
NCN55,OUT010,74.59938670714303
FDQ58,OUT017,93.83234208432006
FDY38,OUT027,109.59387160903098
FDH56,OUT046,105.39586384307637
FDL48,OUT018,88.23778262114057
FDC48,OUT027,112.13946102724414
FDN33,OUT045,100.46461464489914
FDA36,OUT017,102.48647091010399
FDT44,OUT017,102.77391980451452
FDQ56,OUT045,103.73247564793394
NCC54,OUT019,74.72930768623849
FDU11,OUT049,105.66615803766524
DRL59,OUT013,104.73426697683647
FDM24,OUT049,99.25726577276295
FDI57,OUT045,96.72043843955902
DRC12,OUT018,104.8054844343053
NCM42,OUT027,109.1120359780563
FDA46,OUT010,74.53966595577344
FDA31,OUT013,105.32755189216621
NCJ31,OUT035,106.72009522530699
FDG52,OUT046,104.65216773000598
NCL19,OUT019,55.75244909791304
FDS10,OUT035,94.92978354325383
FDX22,OUT010,55.78866009527103
NCF19,OUT035,97.40542530409691
NCE06,OUT046,102.78947498364924
DRC27,OUT046,107.77542108796203
FDE21,OUT035,103.57536092327634
NCR42,OUT019,55.25865069510663
FDX51,OUT018,96.43475475161766
NCR06,OUT018,98.47641172196509
FDU31,OUT027,102.38253604387293
FDU59,OUT017,104.72570524861924
FDR03,OUT027,102.70861519102648
FDS49,OUT027,101.54493276995301
FDD48,OUT010,59.91552492711741
NCF18,OUT017,102.86416650492968
NCD43,OUT027,105.4732899793065
NCD54,OUT018,96.61696896179802
FDY19,OUT010,56.10338399455527
NCY54,OUT017,103.80421421368776
NCL19,OUT018,100.04823932436642
FDP23,OUT010,55.22349582897608
FDC26,OUT013,105.4062409864901
FDR14,OUT010,72.5339814037057
NCS41,OUT035,99.45151153606577
FDF41,OUT035,108.70674635008658
FDU34,OUT046,92.37546404479026
DRH11,OUT046,102.02361349402278
FDM03,OUT013,97.52777402858283
FDS31,OUT017,94.7971950863684
FDJ20,OUT017,102.3530161283521
FDV44,OUT027,103.75538935617261
FDG02,OUT049,105.29100689512119
FDA09,OUT013,102.69988553750476
FDT04,OUT013,97.4003811072253
FDL58,OUT019,72.66074356199583
FDE52,OUT045,103.45639254003564
FDW12,OUT035,98.1156060669799
FDL51,OUT017,96.1225785365339
NCY42,OUT027,108.78982497625951
FDR07,OUT017,97.88127680645992
FDN40,OUT045,102.58274471498767
FDB35,OUT027,121.95730218619485
FDA22,OUT017,112.36510483979053
NCL06,OUT046,91.45792196619266
FDI35,OUT013,111.12747133170312
NCW42,OUT045,95.86477071365151
NCX06,OUT049,97.57784177513193
FDC37,OUT027,112.91488469788416
FDZ14,OUT018,95.5098948904597
DRG49,OUT049,103.20666336718085
NCG06,OUT045,96.40153185968012
DRC36,OUT045,102.99807311419492
FDV21,OUT019,73.7711971194813
FDB53,OUT046,110.07444471305979
DRP47,OUT019,74.28434858653961
FDA14,OUT013,105.37805382268243
DRC24,OUT035,102.59130618132379
FDW21,OUT018,93.96106647711221
NCH29,OUT046,102.09274160028514
FDU58,OUT013,97.87762329974629
FDY27,OUT017,98.42694088730966
FDV56,OUT035,98.3329668237878
FDT59,OUT046,98.21762636450842
FDB23,OUT046,114.71858439001593
FDR49,OUT045,105.2986024735402
FDB03,OUT010,73.20467934352394
FDN39,OUT045,95.0282059991711
FDX02,OUT027,105.03390875549634
FDQ16,OUT027,103.40332118508721
FDU35,OUT018,82.74470901954267
NCT29,OUT013,100.88209716362036
FDZ27,OUT046,102.5100857116008
FDN57,OUT017,93.92733017625002
FDA03,OUT018,102.69879866496312
FDZ36,OUT045,98.81449466535126
NCU05,OUT013,100.88209716362036
FDT39,OUT018,92.93053156084578
FDK60,OUT017,103.02925316396116
FDZ25,OUT017,98.91515446415995
FDG12,OUT046,107.03685584504083
DRB01,OUT019,74.82111719984873
NCC43,OUT027,109.09723962749533
FDX13,OUT019,70.88322999268107
FDM22,OUT049,98.1844137096963
FDJ03,OUT027,96.87926090664483
FDU14,OUT018,92.18972757617088
FDB33,OUT010,57.24982523977829
FDP27,OUT046,101.08475217398092
FDO38,OUT010,70.51625179722708
FDE28,OUT027,116.09569491507553
FDO27,OUT035,101.17557405417814
DRL23,OUT027,112.02893988222408
FDS28,OUT046,98.85397819408125
FDX24,OUT013,98.65870294396237
FDZ02,OUT035,100.76680240074944
FDL46,OUT045,94.57487389390083
FDS60,OUT027,103.04653608275493
NCO06,OUT017,104.51604721590564
FDO16,OUT035,96.82371800037133
FDC60,OUT049,112.87080343075434
FDA48,OUT018,100.9089319611414
FDZ36,OUT027,106.99588126834404
FDK27,OUT045,94.28474504780696
FDW23,OUT018,89.08645964300356
FDM14,OUT018,94.39555523879781
FDM14,OUT013,97.65579089614334
FDW60,OUT018,93.52188942260048
FDE21,OUT013,104.5621455479941
NCM42,OUT035,98.5941910085788
